task_idx,dataset_id,objective,edit_budget,seed,method,score_col,n_selected,functional_hit_rate,mean_fitness,best_fitness,mean_edit_distance,constraint_satisfaction_rate,joint_success_rate
24,GFP_AEQVI_Sarkisyan_2016,novelty,1,0,esm_if_rerank,esm_if_score,50,0.8,0.8304037591367908,0.9899253587036393,1.0,1.0,0.8
24,GFP_AEQVI_Sarkisyan_2016,novelty,1,1,esm_if_rerank,esm_if_score,50,0.8,0.8304037591367908,0.9899253587036393,1.0,1.0,0.8
24,GFP_AEQVI_Sarkisyan_2016,novelty,1,2,esm_if_rerank,esm_if_score,50,0.8,0.8304037591367908,0.9899253587036393,1.0,1.0,0.8
24,GFP_AEQVI_Sarkisyan_2016,novelty,1,3,esm_if_rerank,esm_if_score,50,0.8,0.8304037591367908,0.9899253587036393,1.0,1.0,0.8
24,GFP_AEQVI_Sarkisyan_2016,novelty,1,4,esm_if_rerank,esm_if_score,50,0.8,0.8304037591367908,0.9899253587036393,1.0,1.0,0.8
25,GFP_AEQVI_Sarkisyan_2016,fragility_aware,1,0,esm_if_rerank,esm_if_score,50,0.88,0.863129906795065,0.9899253587036393,1.0,1.0,0.88
25,GFP_AEQVI_Sarkisyan_2016,fragility_aware,1,1,esm_if_rerank,esm_if_score,50,0.88,0.863129906795065,0.9899253587036393,1.0,1.0,0.88
25,GFP_AEQVI_Sarkisyan_2016,fragility_aware,1,2,esm_if_rerank,esm_if_score,50,0.88,0.863129906795065,0.9899253587036393,1.0,1.0,0.88
25,GFP_AEQVI_Sarkisyan_2016,fragility_aware,1,3,esm_if_rerank,esm_if_score,50,0.88,0.863129906795065,0.9899253587036393,1.0,1.0,0.88
25,GFP_AEQVI_Sarkisyan_2016,fragility_aware,1,4,esm_if_rerank,esm_if_score,50,0.88,0.863129906795065,0.9899253587036393,1.0,1.0,0.88
26,GFP_AEQVI_Sarkisyan_2016,motif_avoidance,1,0,esm_if_rerank,esm_if_score,50,0.8,0.8304037591367908,0.9899253587036393,1.0,1.0,0.8
26,GFP_AEQVI_Sarkisyan_2016,motif_avoidance,1,1,esm_if_rerank,esm_if_score,50,0.8,0.8304037591367908,0.9899253587036393,1.0,1.0,0.8
26,GFP_AEQVI_Sarkisyan_2016,motif_avoidance,1,2,esm_if_rerank,esm_if_score,50,0.8,0.8304037591367908,0.9899253587036393,1.0,1.0,0.8
26,GFP_AEQVI_Sarkisyan_2016,motif_avoidance,1,3,esm_if_rerank,esm_if_score,50,0.8,0.8304037591367908,0.9899253587036393,1.0,1.0,0.8
26,GFP_AEQVI_Sarkisyan_2016,motif_avoidance,1,4,esm_if_rerank,esm_if_score,50,0.8,0.8304037591367908,0.9899253587036393,1.0,1.0,0.8
27,GFP_AEQVI_Sarkisyan_2016,novelty,2,0,esm_if_rerank,esm_if_score,50,0.72,0.7984758479328616,0.9916850369339058,1.72,1.0,0.72
27,GFP_AEQVI_Sarkisyan_2016,novelty,2,1,esm_if_rerank,esm_if_score,50,0.76,0.8203480682213714,0.9928646014618865,1.68,1.0,0.76
27,GFP_AEQVI_Sarkisyan_2016,novelty,2,2,esm_if_rerank,esm_if_score,50,0.72,0.8040143868198166,0.9928646014618865,1.72,1.0,0.72
27,GFP_AEQVI_Sarkisyan_2016,novelty,2,3,esm_if_rerank,esm_if_score,50,0.78,0.8205008314963067,0.9916850369339058,1.7,1.0,0.78
27,GFP_AEQVI_Sarkisyan_2016,novelty,2,4,esm_if_rerank,esm_if_score,50,0.74,0.8088896623738252,0.9916850369339058,1.74,1.0,0.74
28,GFP_AEQVI_Sarkisyan_2016,fragility_aware,2,0,esm_if_rerank,esm_if_score,50,0.8,0.8448872645705225,0.9916850369339058,1.68,1.0,0.8
28,GFP_AEQVI_Sarkisyan_2016,fragility_aware,2,1,esm_if_rerank,esm_if_score,50,0.78,0.8418432146033956,0.9928646014618865,1.7,1.0,0.78
28,GFP_AEQVI_Sarkisyan_2016,fragility_aware,2,2,esm_if_rerank,esm_if_score,50,0.78,0.8406489538616233,0.9916850369339058,1.7,1.0,0.78
28,GFP_AEQVI_Sarkisyan_2016,fragility_aware,2,3,esm_if_rerank,esm_if_score,50,0.8,0.845225664230189,0.9928646014618865,1.7,1.0,0.8
28,GFP_AEQVI_Sarkisyan_2016,fragility_aware,2,4,esm_if_rerank,esm_if_score,50,0.78,0.8411517190702711,0.9928646014618865,1.7,1.0,0.78
29,GFP_AEQVI_Sarkisyan_2016,motif_avoidance,2,0,esm_if_rerank,esm_if_score,50,0.7,0.8047024016707275,0.9928646014618865,1.76,1.0,0.7
29,GFP_AEQVI_Sarkisyan_2016,motif_avoidance,2,1,esm_if_rerank,esm_if_score,50,0.76,0.8215392350233981,0.9928646014618865,1.7,1.0,0.76
29,GFP_AEQVI_Sarkisyan_2016,motif_avoidance,2,2,esm_if_rerank,esm_if_score,50,0.72,0.8042174266156167,0.9928646014618865,1.68,1.0,0.72
29,GFP_AEQVI_Sarkisyan_2016,motif_avoidance,2,3,esm_if_rerank,esm_if_score,50,0.76,0.8179839115133234,0.9916850369339058,1.68,1.0,0.76
29,GFP_AEQVI_Sarkisyan_2016,motif_avoidance,2,4,esm_if_rerank,esm_if_score,50,0.76,0.8121997911590673,0.9928646014618865,1.74,1.0,0.76
30,GFP_AEQVI_Sarkisyan_2016,novelty,3,0,esm_if_rerank,esm_if_score,50,0.68,0.7869776076110917,0.999516571914762,2.18,1.0,0.68
