task_idx,dataset_id,objective,edit_budget,seed,method,beta,n_proposals,n_selected,n_labeled,labeled_fraction,functional_hit_rate_labeled,joint_success_rate_labeled,first_functional_rank,mean_edit_distance,mean_prior_function_prob,mean_plm_score
20,GCN4_YEAST_Staller_2018,motif_avoidance,3,4,editguard_diffusion_dplm,1.0,184,50,1,0.02,1.0,1.0,,1.94,0.2907720374585519,
21,GCN4_YEAST_Staller_2018,novelty,5,0,editguard_diffusion_dplm,1.0,200,50,0,0.0,,,,3.16,0.26237009495098307,
21,GCN4_YEAST_Staller_2018,novelty,5,1,editguard_diffusion_dplm,1.0,199,50,0,0.0,,,,3.78,0.2779972164889942,
21,GCN4_YEAST_Staller_2018,novelty,5,2,editguard_diffusion_dplm,1.0,197,50,0,0.0,,,,2.92,0.2695310192217403,
21,GCN4_YEAST_Staller_2018,novelty,5,3,editguard_diffusion_dplm,1.0,200,50,0,0.0,,,,3.6,0.2621527173181705,
21,GCN4_YEAST_Staller_2018,novelty,5,4,editguard_diffusion_dplm,1.0,198,50,0,0.0,,,,2.8,0.26800591305630594,
22,GCN4_YEAST_Staller_2018,fragility_aware,5,0,editguard_diffusion_dplm,1.0,199,50,0,0.0,,,,3.32,0.2606480867997295,
22,GCN4_YEAST_Staller_2018,fragility_aware,5,1,editguard_diffusion_dplm,1.0,200,50,0,0.0,,,,4.14,0.25460116987175024,
22,GCN4_YEAST_Staller_2018,fragility_aware,5,2,editguard_diffusion_dplm,1.0,193,50,0,0.0,,,,2.56,0.2685599354913077,
22,GCN4_YEAST_Staller_2018,fragility_aware,5,3,editguard_diffusion_dplm,1.0,199,50,0,0.0,,,,3.28,0.2659425637086031,
22,GCN4_YEAST_Staller_2018,fragility_aware,5,4,editguard_diffusion_dplm,1.0,200,50,0,0.0,,,,2.92,0.2708009982682741,
23,GCN4_YEAST_Staller_2018,motif_avoidance,5,0,editguard_diffusion_dplm,1.0,199,50,0,0.0,,,,3.42,0.2612486132993073,
23,GCN4_YEAST_Staller_2018,motif_avoidance,5,1,editguard_diffusion_dplm,1.0,199,50,0,0.0,,,,3.46,0.26683711433138496,
23,GCN4_YEAST_Staller_2018,motif_avoidance,5,2,editguard_diffusion_dplm,1.0,200,50,0,0.0,,,,3.44,0.2748434571554829,
23,GCN4_YEAST_Staller_2018,motif_avoidance,5,3,editguard_diffusion_dplm,1.0,200,50,0,0.0,,,,3.14,0.2637438961518783,
23,GCN4_YEAST_Staller_2018,motif_avoidance,5,4,editguard_diffusion_dplm,1.0,200,50,1,0.02,0.0,0.0,,2.9,0.26983166923860863,
24,GFP_AEQVI_Sarkisyan_2016,novelty,1,0,editguard_diffusion_dplm,1.0,109,50,8,0.16,0.875,0.875,,1.0,0.49819388360254274,
