method,n_selected,functional_hit_rate,mean_fitness,best_fitness,mean_edit_distance,constraint_satisfaction_rate,joint_success_rate,task_idx,dataset_id,objective,edit_budget,seed
random,50,0.36,0.6243571631071632,0.9993384993384994,3.28,1.0,0.36,9,CAPSD_AAV2S_Sinai_2021,novelty,5,1
novelty,50,0.34,0.6215871290871291,0.9936921186921187,5.0,1.0,0.34,9,CAPSD_AAV2S_Sinai_2021,novelty,5,1
objective_only,50,0.44,0.6121080608580608,0.9941646191646192,5.0,1.0,0.44,9,CAPSD_AAV2S_Sinai_2021,novelty,5,1
dms_prior_rerank,50,0.82,0.81614604989605,0.9977792477792478,2.52,1.0,0.82,9,CAPSD_AAV2S_Sinai_2021,novelty,5,1
editguard_guided,50,0.84,0.8146425533925533,0.999007749007749,2.94,1.0,0.84,9,CAPSD_AAV2S_Sinai_2021,novelty,5,1
random,50,0.36,0.5812400774900774,0.9983934983934984,3.06,1.0,0.36,9,CAPSD_AAV2S_Sinai_2021,novelty,5,2
novelty,50,0.18,0.5614656964656964,0.9857304857304857,5.0,1.0,0.18,9,CAPSD_AAV2S_Sinai_2021,novelty,5,2
objective_only,50,0.22,0.4998617936117936,0.9690984690984691,5.0,1.0,0.22,9,CAPSD_AAV2S_Sinai_2021,novelty,5,2
dms_prior_rerank,50,0.74,0.8320034020034021,0.9943772443772444,2.62,1.0,0.74,9,CAPSD_AAV2S_Sinai_2021,novelty,5,2
editguard_guided,50,0.74,0.8276263938763939,0.9943772443772444,2.94,1.0,0.74,9,CAPSD_AAV2S_Sinai_2021,novelty,5,2
