dataset_id,n,r2_additive,r2_global,spec_std,spec_var_share
2KWH.pdb,357,0.2309000570156593,0.6617290691017083,0.353273509737772,0.3382709308982917
2KXD.pdb,476,0.7130317151571726,0.9403967153438697,0.43451404618916706,0.05960328465613034
2L09.pdb,1041,0.6169229993658847,0.7365096329353507,0.29491342604577475,0.2634903670646494
2L2P.pdb,356,-0.17338090310633136,0.5761742109461372,0.41397808312143974,0.4238257890538628
2L7F.pdb,192,-13.57317335293109,0.03730197697153703,0.5379648485378823,0.962698023028463
2L7M.pdb,800,-3.663662508884162,0.6003609576567813,0.5634397111083198,0.3996390423432187
2L9R.pdb,1336,-0.9885844471154288,0.34941874436003584,0.27918959955246025,0.6505812556399643
2LC2.pdb,361,-0.8244393446186193,0.7602104861959518,0.2714039692398814,0.23978951380404825
2LCL.pdb,338,-1.7316387844234438,0.5984980958843176,0.35815162181653576,0.40150190411568243
2LGW.pdb,3081,-1.2390063851275799,0.8220185409495006,0.4870918167436243,0.17798145905049945
2LHR.pdb,967,-0.07981956655144007,0.7456151487252944,0.3478434663341299,0.2543848512747055
2LJ3.pdb,177,0.648589088659197,0.8799231980967352,0.36246885793614625,0.1200768019032647
2LO1.pdb,1011,-3.707405143767022,0.674174061515095,0.4215575512110799,0.32582593848490504
2LP5.pdb,360,0.4752167722808014,0.8853416102604387,0.3231608042875951,0.11465838973956134
2LUM.pdb,85,-6.092098796145504,0.8157623739052665,0.3507831676580869,0.18423762609473346
2LVN.pdb,490,-2.3614350201372627,0.26124263920616186,0.7911658470535191,0.738757360793838
2M0C.pdb,401,-3.3875100765691837,0.43654483005208755,0.7119906929163948,0.5634551699479124
2M0Y.pdb,1558,-3.898362599660639,0.390900037391815,0.5277803326111876,0.609099962608185
2M2J.pdb,2147,-0.5144205566474493,0.604636273901608,0.48254751272023017,0.39536372609839204
2M2L.pdb,1484,-2.7410118878896954,0.4049424304621706,0.5238224716328399,0.5950575695378294
2M8E.pdb,72,-4.129544214171708,0.661067032893868,0.3961822060562819,0.33893296710613197
2M8I.pdb,240,0.0003961012766806604,0.8784722104207239,0.3840217854319943,0.12152778957927612
2M8U.pdb,361,-3.117492106367102,0.8155545713090716,0.24668568113432093,0.18444542869092836
2M9F.pdb,60,-1.842356003308848,0.7440977176660921,0.44695112025813727,0.2559022823339079
2MA4.pdb,1432,-0.384544037017706,0.7289380408151944,0.5456387857883768,0.2710619591848056
2MC5.pdb,140,-1.7669659986614121,0.6255405633245965,0.4345398611523583,0.3744594366754035
2MCH.pdb,1568,0.2921989458682238,0.7354261887969273,0.49645218022812904,0.2645738112030727
2MI6.pdb,361,-2.1244070506407526,0.7715363601569029,0.36609921169761983,0.22846363984309712
